path,relative_path,filename,valid_filename,hash,channels,sample_rate,sample_width,frame_count,duration_sec,error,modality,vocal_channel,emotion_code,emotion_name,target_class,intensity,statement,repetition,actor,clean_path,clean_relative,clean_sample_rate,clean_channels,balanced_path,balanced_relative
C:\Users\HR Lithesh\Downloads\advaya 2.0\AI-Elder-assist---Advaya-2.0-2026\voice dataset ravdess\audio_speech_actors_01-24\Actor_16\03-01-07-02-01-02-16.wav,audio_speech_actors_01-24/Actor_16/03-01-07-02-01-02-16.wav,03-01-07-02-01-02-16.wav,True,a0b6342d377da04e1e17b732f5e2350f9efc4d2c,1,48000,2,203404,4.237583,,03,01,07,disgust,distressed,02,01,02,16,C:\Users\HR Lithesh\Downloads\advaya 2.0\AI-Elder-assist---Advaya-2.0-2026\NEW\model3_preprocessing\processed\clean_16k_mono\distressed\03-01-07-02-01-02-16.wav,distressed/03-01-07-02-01-02-16.wav,16000,1,C:\Users\HR Lithesh\Downloads\advaya 2.0\AI-Elder-assist---Advaya-2.0-2026\NEW\model3_preprocessing\processed\balanced_16k_mono\distressed\03-01-07-02-01-02-16.wav,distressed/03-01-07-02-01-02-16.wav
C:\Users\HR Lithesh\Downloads\advaya 2.0\AI-Elder-assist---Advaya-2.0-2026\voice dataset ravdess\audio_speech_actors_01-24\Actor_10\03-01-05-01-02-01-10.wav,audio_speech_actors_01-24/Actor_10/03-01-05-01-02-01-10.wav,03-01-05-01-02-01-10.wav,True,39bc7faff477d38e00c208087433b14f344e9813,1,48000,2,196997,4.104104,,03,01,05,angry,distressed,01,02,01,10,C:\Users\HR Lithesh\Downloads\advaya 2.0\AI-Elder-assist---Advaya-2.0-2026\NEW\model3_preprocessing\processed\clean_16k_mono\distressed\03-01-05-01-02-01-10.wav,distressed/03-01-05-01-02-01-10.wav,16000,1,C:\Users\HR Lithesh\Downloads\advaya 2.0\AI-Elder-assist---Advaya-2.0-2026\NEW\model3_preprocessing\processed\balanced_16k_mono\distressed\03-01-05-01-02-01-10.wav,distressed/03-01-05-01-02-01-10.wav
C:\Users\HR Lithesh\Downloads\advaya 2.0\AI-Elder-assist---Advaya-2.0-2026\voice dataset ravdess\audio_speech_actors_01-24\Actor_13\03-01-05-01-01-01-13.wav,audio_speech_actors_01-24/Actor_13/03-01-05-01-01-01-13.wav,03-01-05-01-01-01-13.wav,True,06f6284083b12d0faaec77b05240c8bd1b130a7b,1,48000,2,164965,3.436771,,03,01,05,angry,distressed,01,01,01,13,C:\Users\HR Lithesh\Downloads\advaya 2.0\AI-Elder-assist---Advaya-2.0-2026\NEW\model3_preprocessing\processed\clean_16k_mono\distressed\03-01-05-01-01-01-13.wav,distressed/03-01-05-01-01-01-13.wav,16000,1,C:\Users\HR Lithesh\Downloads\advaya 2.0\AI-Elder-assist---Advaya-2.0-2026\NEW\model3_preprocessing\processed\balanced_16k_mono\distressed\03-01-05-01-01-01-13.wav,distressed/03-01-05-01-01-01-13.wav
C:\Users\HR Lithesh\Downloads\advaya 2.0\AI-Elder-assist---Advaya-2.0-2026\voice dataset ravdess\audio_speech_actors_01-24\Actor_20\03-01-07-02-02-02-20.wav,audio_speech_actors_01-24/Actor_20/03-01-07-02-02-02-20.wav,03-01-07-02-02-02-20.wav,True,e452c0d9c5096d274b00cd3ad9524bc1db065567,1,48000,2,185785,3.870521,,03,01,07,disgust,distressed,02,02,02,20,C:\Users\HR Lithesh\Downloads\advaya 2.0\AI-Elder-assist---Advaya-2.0-2026\NEW\model3_preprocessing\processed\clean_16k_mono\distressed\03-01-07-02-02-02-20.wav,distressed/03-01-07-02-02-02-20.wav,16000,1,C:\Users\HR Lithesh\Downloads\advaya 2.0\AI-Elder-assist---Advaya-2.0-2026\NEW\model3_preprocessing\processed\balanced_16k_mono\distressed\03-01-07-02-02-02-20.wav,distressed/03-01-07-02-02-02-20.wav
C:\Users\HR Lithesh\Downloads\advaya 2.0\AI-Elder-assist---Advaya-2.0-2026\voice dataset ravdess\audio_speech_actors_01-24\Actor_21\03-01-05-02-01-02-21.wav,audio_speech_actors_01-24/Actor_21/03-01-05-02-01-02-21.wav,03-01-05-02-01-02-21.wav,True,3768fb447ad09d38d42646bef1880b20f2ff18b0,1,48000,2,214614,4.471125,,03,01,05,angry,distressed,02,01,02,21,C:\Users\HR Lithesh\Downloads\advaya 2.0\AI-Elder-assist---Advaya-2.0-2026\NEW\model3_preprocessing\processed\clean_16k_mono\distressed\03-01-05-02-01-02-21.wav,distressed/03-01-05-02-01-02-21.wav,16000,1,C:\Users\HR Lithesh\Downloads\advaya 2.0\AI-Elder-assist---Advaya-2.0-2026\NEW\model3_preprocessing\processed\balanced_16k_mono\distressed\03-01-05-02-01-02-21.wav,distressed/03-01-05-02-01-02-21.wav
C:\Users\HR Lithesh\Downloads\advaya 2.0\AI-Elder-assist---Advaya-2.0-2026\voice dataset ravdess\audio_speech_actors_01-24\Actor_06\03-01-05-02-01-02-06.wav,audio_speech_actors_01-24/Actor_06/03-01-05-02-01-02-06.wav,03-01-05-02-01-02-06.wav,True,62547b7829e83a15fb610eda08e5a81644aa8740,1,48000,2,201801,4.204187,,03,01,05,angry,distressed,02,01,02,06,C:\Users\HR Lithesh\Downloads\advaya 2.0\AI-Elder-assist---Advaya-2.0-2026\NEW\model3_preprocessing\processed\clean_16k_mono\distressed\03-01-05-02-01-02-06.wav,distressed/03-01-05-02-01-02-06.wav,16000,1,C:\Users\HR Lithesh\Downloads\advaya 2.0\AI-Elder-assist---Advaya-2.0-2026\NEW\model3_preprocessing\processed\balanced_16k_mono\distressed\03-01-05-02-01-02-06.wav,distressed/03-01-05-02-01-02-06.wav
C:\Users\HR Lithesh\Downloads\advaya 2.0\AI-Elder-assist---Advaya-2.0-2026\voice dataset ravdess\audio_speech_actors_01-24\Actor_19\03-01-05-02-01-01-19.wav,audio_speech_actors_01-24/Actor_19/03-01-05-02-01-01-19.wav,03-01-05-02-01-01-19.wav,True,cbacf4b0d9caf2e97f58c44aaabe42cc1a7f88be,1,48000,2,190591,3.970646,,03,01,05,angry,distressed,02,01,01,19,C:\Users\HR Lithesh\Downloads\advaya 2.0\AI-Elder-assist---Advaya-2.0-2026\NEW\model3_preprocessing\processed\clean_16k_mono\distressed\03-01-05-02-01-01-19.wav,distressed/03-01-05-02-01-01-19.wav,16000,1,C:\Users\HR Lithesh\Downloads\advaya 2.0\AI-Elder-assist---Advaya-2.0-2026\NEW\model3_preprocessing\processed\balanced_16k_mono\distressed\03-01-05-02-01-01-19.wav,distressed/03-01-05-02-01-01-19.wav
C:\Users\HR Lithesh\Downloads\advaya 2.0\AI-Elder-assist---Advaya-2.0-2026\voice dataset ravdess\audio_speech_actors_01-24\Actor_24\03-01-05-01-02-01-24.wav,audio_speech_actors_01-24/Actor_24/03-01-05-01-02-01-24.wav,03-01-05-01-02-01-24.wav,True,e2b31b5255b315ccdbbfea8f2f411827918fbdd0,1,48000,2,176176,3.670333,,03,01,05,angry,distressed,01,02,01,24,C:\Users\HR Lithesh\Downloads\advaya 2.0\AI-Elder-assist---Advaya-2.0-2026\NEW\model3_preprocessing\processed\clean_16k_mono\distressed\03-01-05-01-02-01-24.wav,distressed/03-01-05-01-02-01-24.wav,16000,1,C:\Users\HR Lithesh\Downloads\advaya 2.0\AI-Elder-assist---Advaya-2.0-2026\NEW\model3_preprocessing\processed\balanced_16k_mono\distressed\03-01-05-01-02-01-24.wav,distressed/03-01-05-01-02-01-24.wav
C:\Users\HR Lithesh\Downloads\advaya 2.0\AI-Elder-assist---Advaya-2.0-2026\voice dataset ravdess\audio_speech_actors_01-24\Actor_05\03-01-05-01-02-01-05.wav,audio_speech_actors_01-24/Actor_05/03-01-05-01-02-01-05.wav,03-01-05-01-02-01-05.wav,True,9280164560d5a49310602886636b6e013f471282,1,48000,2,195395,4.070729,,03,01,05,angry,distressed,01,02,01,05,C:\Users\HR Lithesh\Downloads\advaya 2.0\AI-Elder-assist---Advaya-2.0-2026\NEW\model3_preprocessing\processed\clean_16k_mono\distressed\03-01-05-01-02-01-05.wav,distressed/03-01-05-01-02-01-05.wav,16000,1,C:\Users\HR Lithesh\Downloads\advaya 2.0\AI-Elder-assist---Advaya-2.0-2026\NEW\model3_preprocessing\processed\balanced_16k_mono\distressed\03-01-05-01-02-01-05.wav,distressed/03-01-05-01-02-01-05.wav
C:\Users\HR Lithesh\Downloads\advaya 2.0\AI-Elder-assist---Advaya-2.0-2026\voice dataset ravdess\audio_speech_actors_01-24\Actor_11\03-01-07-02-02-01-11.wav,audio_speech_actors_01-24/Actor_11/03-01-07-02-02-01-11.wav,03-01-07-02-02-01-11.wav,True,1ca83f8c4aee379f92f8784fbc7410c3b3c2f584,1,48000,2,179379,3.737062,,03,01,07,disgust,distressed,02,02,01,11,C:\Users\HR Lithesh\Downloads\advaya 2.0\AI-Elder-assist---Advaya-2.0-2026\NEW\model3_preprocessing\processed\clean_16k_mono\distressed\03-01-07-02-02-01-11.wav,distressed/03-01-07-02-02-01-11.wav,16000,1,C:\Users\HR Lithesh\Downloads\advaya 2.0\AI-Elder-assist---Advaya-2.0-2026\NEW\model3_preprocessing\processed\balanced_16k_mono\distressed\03-01-07-02-02-01-11.wav,distressed/03-01-07-02-02-01-11.wav
C:\Users\HR Lithesh\Downloads\advaya 2.0\AI-Elder-assist---Advaya-2.0-2026\voice dataset ravdess\audio_speech_actors_01-24\Actor_16\03-01-07-01-02-02-16.wav,audio_speech_actors_01-24/Actor_16/03-01-07-01-02-02-16.wav,03-01-07-01-02-02-16.wav,True,8b763b2a62e8e7e0e1a82380016cf8a639dcb1c0,1,48000,2,171371,3.570229,,03,01,07,disgust,distressed,01,02,02,16,C:\Users\HR Lithesh\Downloads\advaya 2.0\AI-Elder-assist---Advaya-2.0-2026\NEW\model3_preprocessing\processed\clean_16k_mono\distressed\03-01-07-01-02-02-16.wav,distressed/03-01-07-01-02-02-16.wav,16000,1,C:\Users\HR Lithesh\Downloads\advaya 2.0\AI-Elder-assist---Advaya-2.0-2026\NEW\model3_preprocessing\processed\balanced_16k_mono\distressed\03-01-07-01-02-02-16.wav,distressed/03-01-07-01-02-02-16.wav
C:\Users\HR Lithesh\Downloads\advaya 2.0\AI-Elder-assist---Advaya-2.0-2026\voice dataset ravdess\audio_speech_actors_01-24\Actor_21\03-01-05-01-01-02-21.wav,audio_speech_actors_01-24/Actor_21/03-01-05-01-01-02-21.wav,03-01-05-01-01-02-21.wav,True,bfa6879b483ca7a91c3aaf3a36a34711d531438c,1,48000,2,192192,4.004,,03,01,05,angry,distressed,01,01,02,21,C:\Users\HR Lithesh\Downloads\advaya 2.0\AI-Elder-assist---Advaya-2.0-2026\NEW\model3_preprocessing\processed\clean_16k_mono\distressed\03-01-05-01-01-02-21.wav,distressed/03-01-05-01-01-02-21.wav,16000,1,C:\Users\HR Lithesh\Downloads\advaya 2.0\AI-Elder-assist---Advaya-2.0-2026\NEW\model3_preprocessing\processed\balanced_16k_mono\distressed\03-01-05-01-01-02-21.wav,distressed/03-01-05-01-01-02-21.wav
